rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,primeclass,conn_lvl,glac_name,is_rgi6,cenlon,cenlat,termlon,termlat,area_km2,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,lmax_m,surge_type
RGI2000-v7.0-G-01-04403,01,01-02,G209282E63144N,397142,624,2010-09-12T00:00:00,0,0,,1,-150.7188143375,63.1433315,,,0.100683619354255,,,,,,,,3.0
RGI2000-v7.0-G-01-04404,01,01-02,G209279E63125N,397137,624,2010-09-12T00:00:00,0,0,,1,-150.72104093955392,63.1246025,,,0.047958172958829,,,,,,,,3.0
RGI2000-v7.0-G-01-04405,01,01-02,G209297E63124N,397150,624,2010-09-12T00:00:00,0,0,,1,-150.70394883611903,63.1239205,,,0.244495187791641,,,,,,,,3.0
RGI2000-v7.0-G-01-04406,01,01-02,G209311E63119N,397167,624,2010-09-12T00:00:00,0,0,,1,-150.68741834968023,63.1196725,,,0.413953563523103,,,,,,,,3.0
RGI2000-v7.0-G-01-04407,01,01-02,G209317E63116N,397170,624,2010-09-12T00:00:00,0,0,,1,-150.68238886908628,63.1163145,,,0.276744696325255,,,,,,,,3.0
RGI2000-v7.0-G-01-04408,01,01-02,G209320E63114N,397173,624,2010-09-12T00:00:00,0,0,,1,-150.67854869000456,63.113851999999994,,,0.154762816708388,,,,,,,,3.0
RGI2000-v7.0-G-01-04409,01,01-02,G209284E63101N,397143,624,2010-09-12T00:00:00,0,0,,1,-150.71491032233368,63.101384499999995,,,0.936386675182138,,,,,,,,3.0
RGI2000-v7.0-G-01-04410,01,01-02,G209260E63126N,397118,624,2010-09-12T00:00:00,0,0,,1,-150.73855502404723,63.125646,,,0.297615458471635,,,,,,,,3.0
RGI2000-v7.0-G-01-04411,01,01-02,G209194E63110N,397071,624,2010-09-12T00:00:00,0,0,,1,-150.80534600223723,63.109162,,,0.316447048193307,,,,,,,,3.0
RGI2000-v7.0-G-01-04412,01,01-02,G209180E63096N,397063,624,2010-09-12T00:00:00,0,0,,1,-150.81959558762253,63.096498,,,0.485936400044462,,,,,,,,3.0
RGI2000-v7.0-G-01-04413,01,01-02,G209174E63092N,397061,624,2010-09-12T00:00:00,0,0,,1,-150.82654375941925,63.091526,,,0.30047873758823,,,,,,,,3.0
RGI2000-v7.0-G-01-04414,01,01-02,G209147E63085N,397052,624,2010-09-12T00:00:00,0,0,,1,-150.85330784576252,63.0846875,,,0.063847488781718,,,,,,,,3.0
